10,blessed thistle (잎),Blessed Thistle 은 칼륨 나트륨 충분히 함유 되어 있는 허브 월경 무 월경 관절염 배뇨 장애 황달 발열 호흡기 알레르기 질환 치료 하는데 탁월한 효능
11,fennel (종자),회향 씨앗 완하제 작용 하여 깨끗이 하는 도움 되지만 자극 효과 장의 적절한 연동 운동 유지시 켜 배설 촉진 도움 됩니다 회향 복통 과민성 대장 증후군 ( IBS ) 문제 치료 하는 의약품 흔히 발견 됩니다
12,pueraria mirifica (뿌리),P mirifica는 갱년기여성에 대하여 에스트로겐 대체요법으로 사용되고 있으며 Red Kwao Krua (B superba) 와 Black Kwao Krua (M collettii)는 남성의 성기능 증진 및 발기부전 예방 및 치료에 사용되고있다(Suntara 1931)
13,wild yam (뿌리),와일드얌은 소화기 및 신장 질환에 도움이 되고 항염 효과도 있다고 연구된 바 있습니다 서양에서 와일드얌 (Dioscorea villosa)의 뿌리는 전통적으로 류마티즘을 경감시키는데 사용되었으며 식물성 에스트로겐 성분을 함유한다는 것이 밝혀져 여성질환 치료에도 사용되었습니다
14,커민 (뿌리),커민은 비타민E 비타민C 베타카로틴을 함유하고 있어서 피부미용과 노화방지 혈액순환을 하는 항산화 작용!! 커민의 오일은 피부 곰팡이 미생물 감염 제거 도움 세포 노화를 막고 면역력을 높이는 피부와 혈관의 안티에이징!! 면역 소염 진통 효과 관절염에 좋아요
15,홉스 (꽃),홉스가 맥주의 원료로 쓰여지기 전에는1천여년 동안 신경안정제 및이밖에 항생제여성호르몬 대체성분항염작용혈당저하 및갑상선 기능에도 작용한다는 사실들이 보고되고 있다
16,mk-4(메나퀴논-4),MK-4는 비타민 K1이 전환된 것으로 K1과 마찬가지로 혈액 비타민 K의 수준을 속히 증진시키지만 생체이용률이 낮다 Mk-7은 K2의 수준을 오래 지속되도록 하며 생체이용률이 MK-4보다 훨씬 높다
17,mk-7(트랜스 메나퀴논-7),혈관 신장 뇌 연조직 칼슘 침착 되는것을 막아주는 조절 단백질 입니다 반대 뼈 칼슘 운반 촉진 시키고요
18,리파아제,리파아제 ( Lipase ) 는 중성 지방 분해 하는 소화효소 췌장 생 성 십이지장 분비 되요 췌장 세포 손상 되거나 췌관 막히면 리파아제 배출 되지 못 하여 혈중 농도 증가
19,타우린,타우린 무독 성 성인병 알코올 중독 스트레스 같은 병 효능 좋습니다 술 드시고 나서 해산물 들어있는 음식 드시면 알코 울도 분해 간도 보호 된다고 합니다 타우린 뇌 기능 도와줘서 혈압 안정 시키고 뇌졸중 예방 도움 됩니다
20,알파리포산,​ 알 파리 포산 암 심장병 당뇨병 같은 질병 근본 원인 세포 손상 늦추는데 도움 될 있습니다 신체 비타민 E 비타민 C 같은 필수 비타민 수치 회복하고 신체 소화 에너지 활용 탄수화물 분자 소화 활용 하도록 도와줍니다
21,바나듐(바나딜 황산염),바나듐은 뼈와 치아 형성에도 필요하며 결핍시 불임과 유아 사망 성장 지연 뼈 기형과 관련이 있습니다 일부 연구에 따르면 바나듐은 콜레스테롤 수치를 낮추어 심혈관 질환 발병을 예방하는것으로 나타났습니다
22,바나듐 (bmov로서),바나듐은 뼈와 치아 형성에도 필요하며 결핍시 불임과 유아 사망 성장 지연 뼈 기형과 관련이 있습니다 일부 연구에 따르면 바나듐은 콜레스테롤 수치를 낮추어 심혈관 질환 발병을 예방하는것으로 나타났습니다
23,키토산(해양섬유소농축물),간기능 개선·혈당조절 등 다방면 효과■간기능 강화 및 개선 (비만 지방간 고지혈증의 개선)  ■당뇨병의 개선 및 예방  ■ 혈압 조절 작용  ■ 항암 작용과 항암 치료의 부작용 개선  ■ 혈중 콜레스테롤 농도 제어  ■ 다이어트 효과  ■ 중금속 다이옥신등 오염물질 배설  ■ 숙취 해소
24,리파아제프로바이오틱/프리바이오틱혼합물이눌린,눌린 지방 생 성 영향 주는 효소 생 성 감소 시키고 근육 지방 분해 하는 효소 증가 시킨다 자가면역질환 비만 억제 하는 쇄 지방산 생 성 돕고 몸속 콜레스테롤 제거 해 고혈압 심장병 대사 질환 예방 하는 효과
25,엘더베리 추출물,엘더베리는 다양한 영양성분과 항산화성분으로 항산화와 항바이러스 효과가 매우 뛰어납니다 기침과 감기 치료에 효과적이며 염증을 완화시키는 소염효과도 가지고 있습니다 신체 전반의 면역력을 높여 줌으로써 다양한 질병을 예방하는 효과를 가지고 있습니다
26,프로바이오틱혼합물(500억cfu‡)사카로미세스보울라디,사카로미세스 보울라디는 프로바이오틱스의 일종으로 박테리아가 아닌 효모균이기 때문에 고온과 산성환경에서도 생존하는 강인한 생존력을 특징으로 합니다 때문에 크론병 궤양성 대장염 등의 매우 악화된 장내 환경에서도 생존합니다
27,바실러스코아귤런스,사람들은 바실러스 코아귤런스를 설사 아이들에게서 발생하는 로타바이러스 감염에 의한 설사같이 감염에 의한 질환 치료 목적으로 쓰고 있습니다 (보통) 여행자들에게서 발생하는 설사와 식중독에 의한 설사에 쓰죠 바실러스 코아귤런스는 일반적인 소화 불량에도 쓰이고 있습니다
28,락토바실러스플란타럼,락토바실러스 플 란 럼 방법 유해 균 억 제해 뮤신 점액 분비 자극 하여 장벽 보호 유해 균 성장 방해 점막 점착 하여 박테리아 유해 물질 안쪽 침투 하지 못 하도록 막고 장의 염증 면역 력 향상 시켜요
29,락토바실러스파라카제이,락토바실러스 파라 카제 KBT 2005 는 인체 물체 체내 장내 유해한 성질 나타내는 종 병원 성 미생물 생육 효과 억제 산성 담즙산 염 대한 분해 기능 있기 식품 의약품 사료 첨가제 동물 약품 광범위하게 사용 될
30,락토바실러스람노서스,락토바실러스 람노서스 산성 강해 정착 력 높은 균 유해 균 침입 억 제해 면역 조절 효과 뛰어나다 독성 물질 감소 시키고 면역체계 도움 줘 아토피 알레르기 면역 질환 개선 효과
31,락토바실러스카제이,락토바실러스 카제이(Lcasei) 균은 정장작용과 소화작용을 돕고 항암효과와 면역 강화 기능을 합니다 락토바실러스 애시도필러스(Lacidophilus) 균은 혈중 콜레스테롤 감소와 면역 강화 변비 개선 기능이 있습니다
32,비피도박테리움락티스,비피 도박 테리 움 락티스 글리 딘 의한 손상 억제 소화 장애 개선 도와줘요 유당 소화 유당 불 내증 증상 완화 할 있어요 영양소 소화 지원 장내 비타민 미네랄 흡수 작용
33,비피도박테리움브레브,CHAPTER 2 : 비피도박테리움 브레브(Bifidobacterium breve)성인의 알레르기 및 아토피피부염 완화대장염및 과민성 장증환 완화기능성 변비로 인해 변을 자주 보는 것을 개선대장내 음식물 찌꺼기 및 비소화성 식이섬유를 분해
34,비피도박테리움비피덤,비피더스균 불리는 비피 도박 테리 움 주로 대장 역할 하는 균 대장균 증식 억제 운동 배변 활동 강화 효능 비피 도박 테리 움 롱 검은 유해 균 억제 효과 큰 균 장염 과민성 대장 증후군 개선 도움 된다
35,락토바실러스애시도필러스,특히 락토바실러스 애시도필러스는 질 내 산성 환경을 유지하며 외부로부터 들어오 유해균을 억제하고 유익균을 증가시키는 역할을 해요 이러한 작용은 질염 예방 및 치료에 효과적이기 때문에 여성들이 섭취하면 건강 관리에 좋아요
36,락토바실러스퍼멘텀,Lactobacillus fermentum JS ( KCCM 10499 ) 균 주는 혈당 강하 항산화 산화 지질 생 성 억제 콜레스테롤 저하 효능
37,락토바실러스가세리,락토바실러스 가세 지방 섭취 인한 염증 예방 혈당 수준 억제 하며 당뇨병 증상 개선 인슐린 수치 감소 시키는 능력 입증 했습니다 락토바실러스 가세 눌린 병용 하여 고지혈증 환자 콜레스테롤 LDL 콜레스테롤 중성 지방 감소 시켰습니다
38,락토바실러스헬베티쿠스,발명 류마티스 관절염 예방 효능 갖는 락토바실러스 헬베티 쿠스 ( Lactobacillus helveticus ) HY 7801 이를 유효 성분 함유 하는 제품 관 류마티스 관절염 비롯 염증 성 질환 치료 예방 항 염증 효능 학적 조성 물 발효 유
39,비피도박테리움롱검,비피 도박 테리 움 롱 검은 유해 균 억제 효과 큰 균 장염 과민성 대장 증후군 개선 도움 되는 균 운동 배변 활동 강화 효능 있으며 대장 비피 도박 테리 움 롱검 많은 알레르기 발병 적다는 연구
40,락토바실러스존소니,장관 흡착능 등을 비롯한 프로바이오틱 활성이 우수한 Lactobacillus johnsonii PF01의 배양상등액을 황산암모늄으로 70% 농축한 후에 항균능을 조사한 결과 황색포도상구균을 억제하는 활성을 나타내었다
41,락토바실러스크리스파투스,제품 배합 되어 있는 유산균 크리스 파투 스균 ( Lactobacillus crispatus ) KT - 11 하는 유산균 크리스 파투 스균 여성 산도 많이 존재 하는 진귀한 유산균 종 여성 감염증 보호 하는 역할 하고
42,락토바실러스불가리쿠스,락토바실러스 불가리쿠스는 다른 유능한 프로바이오틱스와의 상호작용으로 장내 세균총 균형을 유지하고 변비 설사 장염 위장장애 등 장 질환 개선에 효과적인 작용을 해요 락토바실러스 불가리쿠스가 포함된 프로바이오틱스를 섭취하면 장 건강을 지킬 수 있어요
43,비피도박테리움서브틸리스,이스라엘 히브리대학교 하다르 키멜만 연구팀에 따르면 바실러스 서브틸리스는 식중독에 의한 설사를 유발하는 황색포도상구균에 대한 강한 항균 활성을 보여 감염과 설사 증상을 감소시켰다 비피도박테리움 계열의 균주는 대장염에도 도움을 줄 수 있다
44,비피도박테리움클라우시이,대장 필요한 비 피더 스균 비피더스균 불리는 비피 도박 테리 움 주로 대장 역할 하는 균 대장균 증식 억제 운동 배변 활동 강화 효능 비피 도박 테리 움 롱 검은 유해 균 억제 효과 큰 균 장염 과민성 대장 증후군 개선 도움 되는 균
45,파이토세라마이드,효능별 영양제장 건강간 건강위 건강전립선 건강인기메뉴관절/연골 건강뼈 건강혈행 개선콜레스테롤 개선더보기
46,유기농 브로콜리 새싹,브로콜리 설포 인해 면역 력 증강 효과 항 암 효과 도움 되고 인지 기능 향상 브로콜리 새싹 분말 효능 보인다 브로콜리 새싹 분말 부작용 하루 권장 섭취 량 넘어 브로콜리 새싹 섭취 할 경우 가스 인한 복부 팽 감 변비 증상 있을
47,유기농 클로렐라 추출물,클로렐라는 염수에서 생활하는 남조류인 스피루리나와는 구분할 필요가 있다균형 잡힌 영양 공급원  뛰어난 엽록소 섭취 자원  체액의 알칼리화  클로렐라의 CGF 효능  면역계를 강화  중금속의 해독 작용  종양억제 작용  혈중 콜레스테롤치 저하
48,벤토나이트 점토,벤토나이트 점토 제습제가100 % 천연 성분으로 절대 안전성 환경 친화적인 건조제이다 벤토나이트 점토 제습제 팩의 효능은 제품 포장 층 내부의 수분을 흡수하고 습기로 인한 영향으로부터 제품을 보호하는 것이다
49,휴믹산,[휴믹산의 기능]식물체의 대사를 활성화시켜 초세회복에 빠른효과작물 뿌리 활착이 좋아지며 식물의 생육을 증진천연칼륨 및 다량의 미량요소가 함유되어 생산량 증가와 상품성 향상양이온 치환능력(CEC)향상으로 토양산도의 중화작용
50,풀빅산,[풀빅산의 기능]양분흡수 증진 뿌리의 인산흡수 기능을 촉진시켜 다른 다량원소의 요구를 높여주므로  에너지대사 증진 광합성 및 호흡등 에너지대사를 증진시킵니다효소활성 증진  세포막 투과성 증진  양분가용성 증진  토양구조 개선  미생물 밀도증진  양이온 치환용량 증진더보기
51,강황추출물(뿌리줄기 커큐민 95%로 표준화),강황 뿌리에서 추출되는 폴리페놀 성분인 커큐민은 강력한 항산화 효능을 가져 해로운 활성산소를 없앤다 면역 기능 저하는 물론 당뇨병 치매 등 다양한 질병과 연관된 산화 스트레스로부터 우리 몸을 보호한다 커큐민은 암을 예방하고 치료하는 데에 효과가 있는 것으로 알려졌다
52,강황추출물(뿌리줄기),강황 뿌리에서 추출되는 폴리페놀 성분인 커큐민은 강력한 항산화 효능을 가져 해로운 활성산소를 없앤다 면역 기능 저하는 물론 당뇨병 치매 등 다양한 질병과 연관된 산화 스트레스로부터 우리 몸을 보호한다 커큐민은 암을 예방하고 치료하는 데에 효과가 있는 것으로 알려졌다
53,강황(뿌리줄기),강황 옛날 현지 숙취 해소 내장 피로 완화 민간요법 애용 되어 왔다 강황 기능 강화 건강 작용 생활 습관 병 좋다고 하는 뿌리줄기 함유 된 강황 특유 황색 색소 ( 커큐민 ) 알려져
54,발효생강뿌리,연구팀은 우리가 흔히 쓰는 생강에 먹을 수 있는 미생물을 더해 발효시키면 천연 식품만으로도 인지 기능 개선에 효과가 있다고 설명했습니다 또 기억력을 회복시키는 것은 물론 치매나 뇌 질환 억제에도 발효 생강이 도움이 될 것으로 기대했습니다
55,스테파니아(stephania tetandra)뿌리추출물,촉규근이라고도 불리는 접시꽃 뿌리에서 추출 분리된 접시꽃 뿌리 추출물은 피부 속 수분을 유지시키는 에몰리엔트 기능으로 피부 보습력을 향상시키고 외부의 유해물질의 활성을 막고 항염 항바이러스 등의 기능으로 트러블 피부 개선에도 도움을 줄 수 있다
56,아슈와간다추출물(뿌리 및 잎),지금 연구 통해 아쉬와 간다 섭취 이점 대해 살펴보았는데요 아쉬와 간다 오늘 소개 해드린 이점 면역 조절 신경 보호 항산화 항염 항암 다양한 이점 보고 되어 학계 주목 받고 있는 건강 소재 입니다
57,발효민들레잎,각기 수종 천식 기관지 임파선 염 위염 감염 늑막 염 담낭염 좋으며 요로 감염 결핵 소화 불량 좋은 효험 있다고 하네요 민들레 잎 줄기 실리 마린 성분 다량 함유 되어 있어요 실리 마린 성분 간세포 손상 막아주고 세포 생 성 촉진 시켜 준다고 하네요
58,발효페퍼민트잎,페퍼민트는 해열
59,발효영지버섯(자실체),또한 영지버섯은 성질이 약간 차고 맛은 쓰면서 달며 한방에서 영지버섯은 이뇨 해독 항균 진통 신경쇠약 불면증 위궤양 등에 효능이 있다고 보고 있다 또한 면역력을 높이고 피를 맑게 하며 혈액의 흐름이 원활하도록 돕고 피로회복에 효과가 있는 것으로 알려져 있다
60,발효애플사이다식초,사과식초효능에 대해서 자세히 알아보면 애플사이다비니거의 아세트산 성분은 꾸준한 섭취시 체중 체질량지수(BMI) 및 내장지방 면적 감소에 도움이 될 수 있고 폴리페놀 성분은 체내에 유해한 활성산소를 감소시켜 만성염증이나 노화예방에 도움이 될 수 있다고 합니다
61,락토바실러스 루테리,락토바실러스 애시도필러스(Lacidophilus) 균은 혈중 콜레스테롤 감소와 면역 강화 변비 개선 기능이 있습니다 락토바실러스 루테리(Lreuteri) 균은 항균물질을 합성해 유해균의 생장을 억제하며 여성의 질염에도 효과가 있습니다
62,락토바실러스 파라카제이,락토바실러스 파라 카제 KBT 2005 는 인체 물체 체내 장내 유해한 성질 나타내는 종 병원 성 미생물 생육 효과 억제 산성 담즙산 염 대한 분해 기능 있기 식품 의약품 사료 첨가제 동물 약품 광범위하게 사용 될
63,콜린(바이타트레이트),수술전후 회복기 환자와 스트레스 상태와 관련 항생제·이뇨제의 보조요법 간질환 수용성 비타민의 흡수·섭취를 방해하는 위장관장애 지속성 또는 소모성 질환 당뇨병 화상 골절 중증(심한증상)감염 심리적 장애에 효능효과가 있는 것으로 돼 있다
64,유기농아슈와간다추출물(뿌리 및 잎),아쉬와간다에 대해 제기되는 다른 혜택들은 다음과 같습니다불안과 우울증으로 이어질 수 있는 스트레스 증상 감소남성의 생식력 증가불면증 환자의 수면을 도움근육량 근력 지구력 활력 증가염증 감소(예: 골관절염으로 인한 연골 손상 예방을 도움)더보기
65,쇠뜨기추출물(천연추출물 equisetum ravens),쇠뜨기는 당뇨와 관련된 연구도 많으며 이뇨효과를 가지고 있어 혈압에도 도움을 줄 수 있습니다 쇠뜨기 추출물 섭취시 당뇨증상에 도움을 줄 수 있다는 임상연구와 동물실험등이 존재하며 쇠뜨기 추출물의 이뇨작용은 이뇨제등과 견줄 수 있을 정도로 뛰어나다는 평입니다
66,쏘팔메토co2추출물(과일),쏘팔메토 추출물(Serenoa repens)은 톱야자나무의 열매 추출물로 전립선 세포의 증식속도를 둔화시켜 전립선비대증 완화에 도움을 주는 것으로 알려져 알려져 최근 국민들의 관심이 높다
67,유기농히말라야실라짓추출물,실라짓 추출물의 간헐적인 섭취도 당뇨병 심장질환 성능력 저하 골다공증 류머티즘 관절염 퇴행성 관절 질환 및 치매 등과 같은 노화 퇴행성 질환의 발생 가능성을 상당히 줄여 줍니다
68,케라틴,케라틴 모발 ㆍ 피부 ㆍ 손톱 발견 되는 단백질 일종 피부 ㆍ 모발 ㆍ 손톱 튼튼하게 유지 상처 치유 돕는 알려졌다 탈모 예방 ㆍ 피부 결 개선 위해 케라틴 보충 따로 복용 하는 사람 있지만 계란 일부 식품 체내 케라틴 합성 조력자 역할 한다
69,bioperine®(흑후추추출물(piper nigrum) 열매),피부 : 피페린 자유 라디칼 손상 피부 보호 피부 색소 침착 주름 노화 줄이는 항산화제 간주 됩니다 해독 효과 : 검은 후추 추출 물 땀 소변 많이 배출 하는 도움 되며 이는 신체 독소 제거 박테리아 바이러스 침입 맞서 싸웁니다
70,이노시톨,[이노시톨 효능] 가임기 여성이라면 필수 이노시톨의 3인슐린 저항성 개선배란 유도 기간 감소규칙적인 월경 유도
71,콜린(해바라기추출물),콜린은 지방 대사에 관여하여 지방간이나 혈중 과다 지방 상태를 예방하는 데 유용한 물질입니다 더불어 콜린의 효율적인 지방 대사는 더 높은 수준의 포만감과 관련이 있어 전반적인 체중 감소에도 도움을 주는데요
72,프로바이오틱 혼합물(10억cfu) l. 불가리쿠스,락토바실러스 불가리쿠스는 다른 유능한 프로바이오틱스와의 상호작용으로 장내 세균총 균형을 유지하고 변비 설사 장염 위장장애 등 장 질환 개선에 효과적인 작용을 해요 락토바실러스 불가리쿠스가 포함된 프로바이오틱스를 섭취하면 장 건강을 지킬 수 있어요
73,b. 비피덤,대장 필요한 비 피더 스균 비피더스균 불리는 비피 도박 테리 움 주로 대장 역할 하는 균 대장균 증식 억제 운동 배변 활동 강화 효능 비피 도박 테리 움 롱 검은 유해 균 억제 효과 큰 균 장염 과민성 대장 증후군 개선 도움 되는 균
74,오메가3(미세조류추출물),국내 몸 속 콜레스테롤 나쁜 지방 없애주고 혈행 개선 기억 력 향상 눈 건강 도움 있다고 알려져 있으며 시중 참치 고등어 생선 추출 동물성 오메가 3 제품 많이 나와있다
75,코엔자임q-10(coq10),코큐텐의 경우 활성산소 제거 효과가 탁월하여 심혈관계 질환의 예방 및 치료 면역기능 강화 노화방지 목적으로 전세계에서 널리 사용되고 있다 이 성분은 혈관이나 인체 기관의 손상을 가져오는 활성산소와 싸우는 강력한 항산화 기능을 갖고 있다
76,보론(아미노산킬레이트),보론의 건강효과는 크게 3가지이며 뼈 건강 항암(특히 전립선 자궁 경부 폐) 건강한 노화입니다
77,미량 미네랄(해수),해수 마그네슘 브롬 요오드 해수 특유 성분 신경증 자율신경 성 균형 장애 심장 혈관 계통 기능 장애 효과 내는 알려져있다 미네랄 신진대사 돕는 효능 있다고 한다
78,바나듐설페이트,바나딜 설페이트는 시험 관내 및 동물 모델의 당뇨병 고혈당증 및 인슐린 저항성을 감소시키는 것으로 밝혀진 바나듐의 산화 형태이다
79,발효브로콜리(통식물),100%물부터 100% 에탄올까지 4개의 분획으로 구분하여 실험하였으며 각각의 분획에 대한 항산화 효과를 확인하였다 그 결과 발효한 브로콜리와 발효하지 않은 브로콜리 모두 50%에탄올 분획에서 특이적인 항산화 효과를 보이는 것을 확인할 수 있었다
80,발효당근(뿌리),즉 알코올발효가 끝난 발효액으로 '당근 천연식초'를 만드는 것이랍니다 당근은 주황빛깔로 우리식탁에서 부재료로 많이 쓰이고 있습니다 강력한 항산화 기능을 한다고 하니 면역력증강과 암예방에도 좋겠지요
81,발효크랜베리(열매),크랜베리는 일찍이 요로감염의 예방 및 치료에 활용되어 왔으며 국내에서도 여성에게 좋은 성분 방광염에 좋은 성분으로 널리 알려져 있는데요 이는 크랜베리에 함유된 '프로안토시아니딘'이라는 성분이 유해균이 요로점막에 흡착되는 것을 억제하기 때문이죠
82,발효생강(뿌리),또한 생강을 발효시키면 유산균 등의 선인균(장내 세균총의 밸런스를 개선하는 생균)이 증가하게 되는 장점도 있다◇ 발효 생강의 7가지 장점  ◎ 몸을 따뜻하게 해준다  ◎ 면역력을 높여준다  ◎ 항산화 작용을 돕는다  ◎ 변비를 개선해준다  ◎ 바이러스를 물리친다  ◎ 소화를 돕는다
83,발효케일(잎),"풍부한 녹색잎 영양소 집합 ""케일 효능""케일 효능당뇨 예방심장 질환 예방항암 효과뼈 건강 증진탈모 예방피부 미용과 노화방지시력 향상"
84,발효석류(열매),뽕나무 열매는 간을 보하고 신장을 이롭게 하며 몸을 시원하게 하고 지해(止咳)의 효능이 있다 또 소갈 변비 눈이 침침하고 귀가 울리는 것 관절이 불편한 것 등을 치료한다 『향약대사전』
85,발효라즈베리(열매),'안토시아닌'  '타닌' 등의 다양한 플라보노이드 성분이 #암  #노화  #염증  #신경  #퇴행성질환 에 도움을 주는데요 특히 #활성산소 로 인한 유전자손상을 막아주는 '안토시아닌'  '카테킨'이 함유되어 있어 #암예방 에 좋다고 해요
86,루틴(블랙올리브추출물),루틴은 혈관의 저항력을 향상시켜 고혈압이나 동맥경화 뇌출혈 당뇨병 등 성인병을 예방하는 효과가 있다 또 메밀에는 술의 해독을 돕는 콜린 성분이 들어 있어 숙취해소에 좋다 메밀은 피부미용에도 좋은 식품이다 메밀에 들어 있는 시스틴 성분은 피부생성을 활성화하고 노화를 방지한다
87,보론(아미노산킬레이트추출물),보론의 건강효과는 크게 3가지이며 뼈 건강 항암(특히 전립선 자궁 경부 폐) 건강한 노화입니다
88,코엔자임q10(coq10),코큐텐 경우 활성산소 제거 효과 탁월하여 심혈관계 질환 예방 치료 면역 기능 강화 노화 방지 목적 전세계 널리 사용 되고 성분 혈관 인체 기관 손상 가져오는 활성산소 싸우는 강력한 항산화 기능 갖고
89,아스타잔틴(해조류추출물),[아스타잔틴 효능] 눈 건강부터 항산화까지 아스타잔틴의 효능 3가지안구 건조증 개선DNA 손상 개선염증 및 수축기 혈압 감소
90,라이코펜(토마토추출물),토마토 추출 물 Solanum lycopersicum ( tomato ) fruit Ext 보습 력 항산화 력 멜라닌 색소 침착 억 제해 미백 효과 우수하며 항산화작용 유해 산소 없애 줍니다 항산화물질 라이코펜 몸속 쌓인 유해 산소 제거 함 질병 예방 치료 합니다
91,제아잔틴(금잔화추출물),금잔화 추출 물 99% 함유 망막 황반 색소 보충 해줘 백내장 예방 눈 건강 효과 눈 좋게 해준다고 주장 하는 건강 식품 적지 않다 예전 간유 좋다고 해서 제품 나온 있었고 결명자 마시는 사람
92,미량미네랄(해수추출물),이 미량 미네랄은 대사를 촉진하는 갑상선 호르몬 생산 및 체중 조절에 중요한 역할을 하므로 우리 몸에 반드시 필요한 영양소입니다 임산부와 유아는 특히 요오드를 충분히 섭취해야 합니다 이 미네랄은 태아 및 유아의 발달—특히 뼈와 뇌의 발달을 촉진하는 역할을 합니다
93,빌베리추출물(열매),[약업신문]눈의 피로 개선에 도움을 줄 수 있는 '빌베리추출물' 안토시아닌이 풍부한 '빌베리추출물'은 눈 건강에 도움을 준다 안토시아닌(또는 안토시아노사이드)은 항산화 작용으로 혈관을 보호하고 미세혈관의 혈액순환을 개선해 눈에 혈액과 영양 공급을 원활하게 한다
94,사프란추출물(꽃),사프란 지혈 생리 불순 냉증 진정 효과 뛰어나고 스트레스 불안 증 ADHD 정신질환 효능 보이는 알려져 연구 결과 정신 약리학 널 ( Journal of Psychopharmacology ) 게재 됐다
95,감마아미노뷰티릭산(gaba),GABA 는 뇌 혈류 개선 산소 공급 증가 뇌 세포 기능 촉진 시켜 신경 안정 작용 하며 스트레스 해소 기억 력 증진 혈압 저하 우울증 완화 중풍 치매 예방 불면 비만 갱년기 장애 효과 있는 알려져 기능성식품 의약품 제품 개발 활발히 추진 되고
96,해양 콜라겐 펩타이드 i,연구 결과 콜라겐 펩타이드 투여 비만 대조군 비해 체중 증 감소 혈액 조직 활성산소 농도 감소 조직 산화 스트레스 완화 된 나타났다
97,유기농 암라 베리(phyllanthus emblica),암라 섭취 관절염 통증 통풍 완화 시킨다는 과학 문헌 제시 되어져 왔습니다 많은 약리학 연구 암라 추출 물이 항산화 항암 항 종양 항 유전자 독성 항 통풍 항 염증 작용 가진다는 보여주었고 전통 사용 지지 합니다
98,유기농 대나무 실리카,대나무 줄기에 다량 함유되어 있는 실리카는 피부 머리카락 손톱 콜라겐을 형성하는 필수 무기성분으로 피부에 탄력성 증진 및 뼈의 건강 증진에 도움을 주는 물질로 알려져 있다 [30]
99,유기농 로즈힙 추출물(열매),로즈힙 열매 자체는 오렌지보다 20배가 넘는 비타민 C를 함유하고 있으며 오일에는 비타민 A가 들어 있어 피부 재생 효과가 있습니다 비타민 A는 특히 건성 손상 노화 피부 개선에 도움을 주며 칙칙한 피부 입가 주름 탄력 없는 피부 재생에 효과적입니다
100,유기농 카무카무(myrciaria dubia 열매),카무카무에는 비타민 외에도 다양한 영양소가 들어있습니다 특히 칼륨이 풍부해 항염증 암 예방 효과는 물론 심장과 신장이 제 기능을 수행할 수 있도록 돕는 역할을 합니다 칼륨은 피부와 뇌 눈 잇몸 건강을 위해 꼭 섭취해야 하는 영양소죠
